         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.578 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.580 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: SETMASK, nset: 0x7ffe616fda68, sigsetsize: 8      ) = 0
     0.191 ([31m 2.516 ms[m): pesquisaOverhe/8  ... [[33mcontinued[m]: clone()) = 9 (pesquisaOverhea)
     2.588 ([33m 0.123 ms[m): pesquisaOverhe/9 execve(filename: 0xbcc30a36, argv: 0x7ffe616fdd10                     ) ...
     2.710 ( 0.001 ms): pesquisaOverhe/8 close(fd: 4                                                           ) = 0
     2.714 ( 0.001 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe616fd9d8, count: 4                             ) = 0
     2.717 ( 0.007 ms): pesquisaOverhe/8 munmap(addr: 0x7f2f94705000, len: 36864                               ) = 0
     2.726 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     2.731 ( 0.002 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffe616fda68, sigsetsize: 8      ) = 0
     2.745 (     ?   ): pesquisaOverhe/8 exit_group(                                                           )
     2.588 ([33m 0.157 ms[m): sleep/9  ... [[33mcontinued[m]: execve()) = 0
     2.760 ( 0.001 ms): sleep/9 brk(                                                                  ) = 0x5647dd13c000
     2.774 ( 0.004 ms): sleep/9 access(filename: 0x506434e7                                           ) = -1 ENOENT No such file or directory
     2.781 ( 0.002 ms): sleep/9 access(filename: 0x50645c70, mode: R                                  ) = -1 ENOENT No such file or directory
     2.789 ( 0.004 ms): sleep/9 open(filename: 0x50643988, flags: CLOEXEC                             ) = 3
     2.794 ( 0.002 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffec9445c90                                  ) = 0
     2.797 ( 0.003 ms): sleep/9 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f3550845000
     2.802 ( 0.001 ms): sleep/9 close(fd: 3                                                           ) = 0
     2.806 ( 0.002 ms): sleep/9 access(filename: 0x506434e7                                           ) = -1 ENOENT No such file or directory
     2.810 ( 0.005 ms): sleep/9 open(filename: 0x5084bd68, flags: CLOEXEC                             ) = 3
     2.817 ( 0.003 ms): sleep/9 read(fd: 3, buf: 0x7ffec9445e38, count: 832                           ) = 832
     2.817 ( 0.007 ms): sleep/9  ... [[33mcontinued[m]: fstat()) = 0
